epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,317.618,0.38308,0.48516,0.56533,0.81162,0,0.46013,0.91428,0.50485,0.44897,0.46013,0.91428,0.50485,0.46298,0.44983,0.54666,1.32498,0.80831,0,0.00100687,0.00100687,0.00100687
42,324.94,0.3838,0.48731,0.56892,0.80552,0,0.47302,0.85854,0.48678,0.44172,0.47302,0.85854,0.48678,0.45464,0.42089,0.47857,1.48622,0.80339,0,0.000990365,0.000990365,0.000990365
43,332.661,0.38759,0.47774,0.56658,0.80972,0,0.43731,0.8038,0.5002,0.4495,0.43731,0.8038,0.5002,0.46608,0.43166,0.49074,1.35483,0.80117,0,0.000973861,0.000973861,0.000973861
44,340.015,0.37716,0.47564,0.52033,0.80754,0,0.46623,0.86323,0.49024,0.43946,0.46623,0.86323,0.49024,0.45023,0.45932,0.56421,1.4829,0.8312,0,0.000957358,0.000957358,0.000957358
45,347.441,0.38186,0.47196,0.48837,0.7962,0,0.494,0.85115,0.55072,0.49809,0.494,0.85115,0.55072,0.521,0.43551,0.48857,1.49679,0.81174,0,0.000940855,0.000940855,0.000940855
46,354.986,0.37686,0.48987,0.4372,0.81159,0,0.46065,0.76073,0.48694,0.44217,0.46065,0.76073,0.48694,0.4537,0.41096,0.51089,1.6292,0.8069,0,0.000924352,0.000924352,0.000924352
47,362.625,0.35429,0.4685,0.43287,0.80288,0,0.41521,1,0.50804,0.4566,0.41521,1,0.50804,0.46859,0.47124,0.53126,1.85344,0.82277,0,0.000907848,0.000907848,0.000907848
48,369.989,0.36721,0.47319,0.45164,0.81337,0,0.44781,0.63097,0.39264,0.33067,0.44781,0.63097,0.39264,0.32889,0.72224,1.64599,1.95243,1.02656,0,0.000891345,0.000891345,0.000891345
49,377.342,0.35177,0.45747,0.49438,0.80516,0,0.48528,0.74282,0.53142,0.46326,0.48528,0.74282,0.53142,0.47827,0.50383,0.69338,1.29358,0.8268,0,0.000874842,0.000874842,0.000874842
50,384.768,0.35925,0.46237,0.45055,0.80031,0,0.46859,0.86603,0.5309,0.48354,0.46859,0.86603,0.5309,0.50754,0.38208,0.46591,1.38283,0.78565,0,0.000858338,0.000858338,0.000858338
51,392.326,0.34142,0.45671,0.42402,0.80198,0,0.43799,0.80263,0.45951,0.41787,0.43799,0.80263,0.45951,0.43289,0.43937,0.51149,1.9727,0.82392,0,0.000841835,0.000841835,0.000841835
52,400.059,0.34894,0.45343,0.36293,0.8057,0,0.48866,0.86249,0.52354,0.47938,0.48866,0.86249,0.52354,0.49526,0.37565,0.46623,1.53468,0.79171,0,0.000825332,0.000825332,0.000825332
53,407.511,0.33259,0.45098,0.36785,0.80175,0,0.46321,0.69982,0.48216,0.4347,0.46321,0.69982,0.48216,0.44869,0.42584,0.55705,1.62324,0.81441,0,0.000808828,0.000808828,0.000808828
54,414.84,0.33527,0.45304,0.37925,0.79874,0,0.44592,0.70335,0.45299,0.41118,0.44502,0.70335,0.46167,0.41145,0.41448,0.72899,1.70948,0.79402,0,0.000792325,0.000792325,0.000792325
55,422.245,0.32595,0.44748,0.38475,0.80339,0,0.44072,1,0.53232,0.48102,0.44072,1,0.53232,0.49595,0.44361,0.55783,1.48435,0.81212,0,0.000775822,0.000775822,0.000775822
56,429.942,0.31989,0.44437,0.32679,0.79407,0,0.45749,0.65466,0.49466,0.43671,0.45749,0.65466,0.49466,0.43041,0.47658,0.81061,1.77733,0.8197,0,0.000759318,0.000759318,0.000759318
57,437.41,0.31839,0.44076,0.32029,0.79682,0,0.46256,0.73348,0.47564,0.42663,0.46243,0.7339,0.48248,0.44301,0.44269,0.54087,1.71037,0.81692,0,0.000742815,0.000742815,0.000742815
58,445.174,0.31606,0.44341,0.29715,0.79656,0,0.43621,0.75114,0.43606,0.39568,0.43621,0.75114,0.43606,0.40996,0.39435,0.48042,2.00592,0.80344,0,0.000726312,0.000726312,0.000726312
59,452.631,0.31407,0.43188,0.28704,0.7942,0,0.4372,0.96053,0.4901,0.45288,0.4372,0.96053,0.4901,0.46041,0.36939,0.49227,1.87818,0.80041,0,0.000709809,0.000709809,0.000709809
60,460.216,0.32091,0.43767,0.30266,0.80373,0,0.37065,0.90789,0.4696,0.40733,0.37065,0.90789,0.4696,0.41254,0.55376,0.83466,2.33324,0.84701,0,0.000693305,0.000693305,0.000693305
61,467.853,0.3006,0.4304,0.31997,0.79594,0,0.55491,0.62799,0.52282,0.4741,0.55491,0.62799,0.52282,0.49044,0.40515,0.49944,1.5248,0.79926,0,0.000676802,0.000676802,0.000676802
62,475.441,0.30599,0.43053,0.29439,0.78467,0,0.44624,0.89833,0.49451,0.44489,0.44624,0.89833,0.49451,0.46226,0.37504,0.48673,1.97731,0.79525,0,0.000660299,0.000660299,0.000660299
63,482.769,0.30862,0.42736,0.28693,0.78154,0,0.41893,0.69019,0.41779,0.38331,0.41893,0.69019,0.41779,0.38707,0.39022,0.49471,1.83047,0.78873,0,0.000643795,0.000643795,0.000643795
64,490.232,0.30176,0.41989,0.28591,0.78401,0,0.45677,0.71651,0.43436,0.39357,0.45677,0.71651,0.43436,0.40852,0.42275,0.48432,1.91663,0.80693,0,0.000627292,0.000627292,0.000627292
65,498.402,0.31002,0.43194,0.29215,0.78537,0,0.46467,0.71442,0.46815,0.42591,0.46467,0.71442,0.46815,0.4357,0.39786,0.54099,1.75521,0.79716,0,0.000610789,0.000610789,0.000610789
